1.425243663527544697e+02 1.250581394597325584e+02 3.729798883905443008e-01 5.233833367351919952e-01
1.330887447226961910e+02 6.060187678256128407e+01 9.786145875266321070e-01 1.618739934104019285e-01
1.425875146323252523e+02 1.385325900255885188e+02 9.168438116794260795e-01 9.555538665011229504e-01
1.186621496334331312e+02 8.992990876429151115e+01 9.627447058353271192e-01 8.612921412138418997e-01
1.179409883934640391e+02 1.162469991372821312e+02 9.562476421945774741e-01 7.750695514321941371e-01
1.336052899497112207e+02 8.890362604182314499e+01 8.357121087740874144e-01 8.471778883846111663e-01
1.449321462574282862e+02 1.190667362114930228e+02 9.406514947361234169e-01 8.425291078337131534e-01
1.086308634154648445e+02 7.769539810097239751e+01 8.654507909818139888e-01 7.834582525932459740e-01
1.239792456021266815e+02 1.082381127074983596e+02 9.014328201313674960e-01 7.157841513296094860e-01
1.339909371731222620e+02 1.110785010715997458e+02 9.541959176889733829e-01 8.081382044754465976e-01
1.334022283014198820e+02 1.223099510296929395e+02 9.870619330916700074e-01 9.227472914988451569e-01
1.380933032146912183e+02 8.408641402181405056e+01 9.501724831531604964e-01 5.917097282870807939e-01
1.368900576584179873e+02 1.333427297971311134e+02 8.217073021217869977e-01 6.838631248068108848e-01
1.431777118176781300e+02 9.343449673261493160e+01 9.171790198161812180e-01 7.964075399891723528e-01
1.524655433707269196e+02 1.066744907896521539e+02 9.638522316990868477e-01 7.069503679237796323e-01
1.427900254673950258e+02 1.046341721326961789e+02 9.832513921315252370e-01 4.691034745732399203e-01
1.209404310210566535e+02 1.142308669889458344e+02 7.937070342805869760e-01 6.225408131661722688e-01
1.637259473050521024e+02 9.113080996668342948e+01 8.493770080096542108e-01 4.688986573015433423e-01
1.229291048097437908e+02 8.072094634110730738e+01 9.869787281706062787e-01 9.655770665742741121e-01
1.164954881349052158e+02 8.718087287591302470e+01 9.080256168432054853e-01 9.494314248727695471e-01
1.407564704266754063e+02 1.116378525810674347e+02 1.303452481179752931e-01 8.563351307674241797e-01
1.203156457386069462e+02 9.732742888697711692e+01 9.740589962142004454e-01 8.934926723108302382e-02
1.493793311572548816e+02 1.127458727231447995e+02 7.208559468779456303e-01 9.457251300543861872e-01
1.739807565924388086e+02 4.108095080793927423e+01 7.939540409930083698e-01 7.732055765565678529e-01
1.135479698607158241e+02 6.389263508244654588e+01 9.434289877857396922e-01 8.468328859883720305e-01
1.487466563855931554e+02 1.131776161054865071e+02 8.286391762182970799e-01 8.091799272668355192e-01
1.038462033648893339e+02 9.688132345256070721e+01 8.064731707316306064e-01 9.685995319154756533e-01
1.160738415942365265e+02 1.075094156264928387e+02 8.790787110166902174e-01 9.324061937434765523e-01
1.109259672867726749e+02 1.061308203298802795e+02 8.723838470165802272e-01 9.664022812699309961e-01
