# Mass  +1sig   -1sig   spin    +1sig   -1sig   age[yrs]  Mc[SM]  Torb[days]
29.80e6 5.40e6  5.40e6  0.88    0.10    0.001   1e10      0.0      1e100
25.10e6 6.10e6  6.10e6  0.89    0.10    0.001   1e10      0.0      1e100
2.90e6  0.18e6  0.16e6  0.98    0.02    0.001   1e10      0.0      1e100
1.91e6  0.78e6  0.78e6  0.99    0.001   0.001   1e10      0.0      1e100
