3.0880413486316996e-13  1.1087389311819422e-19
3.1180413486316996e-13  1.1087389311819422e-15
3.1432755448326877e-13  1.5756740666274361e-15
3.3342723746292676e-13  2.1950015325549778e-15
3.5564887591006403e-13  2.7378264891209033e-15
3.793515007908013e-13  3.2916998767792973e-15
4.046338141347699e-13  3.903562556418977e-15
4.31601096080921e-13  4.670310012673996e-15
4.603656432831098e-13  5.9329670859015785e-15
4.910472365337467e-13  7.159003680372255e-15
5.243591353302765e-13  7.874287435460836e-15
5.58681131018769e-13  9.211988197311563e-15
5.975554614525865e-13  1.0247162370425515e-14
6.351543784607899e-13  1.0698470889837457e-14
6.780996622198997e-13  1.2542472303911937e-14
7.212156188079031e-13  1.509293049018292e-14
7.693727653588588e-13  1.81543086017324e-14
8.238785514792499e-13  2.1914300867627913e-14
8.779489967313594e-13  2.5373283844484736e-14
9.353195236535612e-13  3.0262631036605703e-14
9.99063498603774e-13  3.957907932999209e-14
1.063526137376423e-12  4.676376978354378e-14
1.1387432694143897e-12  5.633568620340415e-14
1.2145324568936672e-12  5.892425032763729e-14
1.2924946797768993e-12  6.336872440806066e-14
1.3751833953690854e-12  6.794000125742842e-14
1.470515127283228e-12  7.855307579145108e-14
1.5514025261429494e-12  6.148911498835738e-14
1.5757645190584022e-12  3.836034197981403e-14
1.5925286365302886e-12  2.6315212066773875e-14
1.6225286365302886e-12  2.6315212066773875e-19
