55    322    Inf
721    733    411    Inf
722    731    411    Inf
722    732    411    Inf
722    733    411    Inf
721    731    421    Inf
721    731    422    Inf
721    732    421    Inf
721    732    422    Inf
721    733    421    Inf
721    733    422    Inf
722    731    421    Inf
722    731    422    Inf
722    732    421    Inf
722    732    422    Inf
722    733    421    Inf
722    733    422    Inf
721    731    431    Inf
721    731    432    Inf
721    731    433    Inf
721    732    431    Inf
721    732    432    Inf
721    732    433    Inf
721    733    431    Inf
721    733    432    Inf
721    733    433    Inf
722    731    431    Inf
722    731    432    Inf
722    731    433    Inf
722    732    431    Inf
722    732    432    Inf
722    732    433    Inf
722    733    431    Inf
722    733    432    Inf
722    733    433    Inf
721    741    411    Inf
721    742    411    Inf
721    743    411    Inf
721    744    411    Inf
722    741    411    Inf
722    742    411    Inf
722    743    411    Inf
722    744    411    Inf
721    741    421    Inf
721    741    422    Inf
721    742    421    Inf
721    742    422    Inf
721    743    421    Inf
721    743    422    Inf
721    744    421    Inf
721    744    422    Inf
722    741    421    Inf
722    741    422    Inf
722    742    421    Inf
722    742    422    Inf
722    743    421    Inf
722    743    422    Inf
722    744    421    Inf
722    744    422    Inf
721    741    431    Inf
721    741    432    Inf
721    741    433    Inf
721    742    431    Inf
721    742    432    Inf
721    742    433    Inf
721    743    431    Inf
721    743    432    Inf
721    743    433    Inf
721    744    431    Inf
721    744    432    Inf
721    744    433    Inf
722    741    431    Inf
722    741    432    Inf
722    741    433    Inf
722    742    431    Inf
722    742    432    Inf
722    742    433    Inf
722    743    431    Inf
722    743    432    Inf
722    743    433    Inf
722    744    431    Inf
722    744    432    Inf
722    744    433    Inf
721    751    411    Inf
721    752    411    Inf
721    753    411    Inf
721    754    411    Inf
721    755    411    Inf
722    751    411    Inf
722    752    411    Inf
722    753    411    Inf
722    754    411    Inf
722    755    411    Inf
721    751    421    Inf
721    751    422    Inf
721    752    421    Inf
721    752    422    Inf
721    753    421    Inf
721    753    422    Inf
721    754    421    Inf
721    754    422    Inf
721    755    421    Inf
721    755    422    Inf
722    751    421    Inf
722    751    422    Inf
722    752    421    Inf
722    752    422    Inf
722    753    421    Inf
722    753    422    Inf
722    754    421    Inf
722    754    422    Inf
722    755    421    Inf
722    755    422    Inf
721    751    431    Inf
721    751    432    Inf
721    751    433    Inf
721    752    431    Inf
721    752    432    Inf
721    752    433    Inf
721    753    431    Inf
721    753    432    Inf
721    753    433    Inf
721    754    431    Inf
721    754    432    Inf
721    754    433    Inf
721    755    431    Inf
721    755    432    Inf
721    755    433    Inf
722    751    431    Inf
722    751    432    Inf
722    751    433    Inf
722    752    431    Inf
722    752    432    Inf
722    752    433    Inf
722    753    431    Inf
722    753    432    Inf
722    753    433    Inf
722    754    431    Inf
722    754    432    Inf
722    754    433    Inf
722    755    431    Inf
722    755    432    Inf
722    755    433    Inf
721    761    411    Inf
721    762    411    Inf
721    763    411    Inf
721    764    411    Inf
721    765    411    Inf
721    766    411    Inf
722    761    411    Inf
722    762    411    Inf
722    763    411    Inf
722    764    411    Inf
722    765    411    Inf
722    766    411    Inf
721    761    421    Inf
721    761    422    Inf
721    762    421    Inf
721    762    422    Inf
721    763    421    Inf
721    763    422    Inf
721    764    421    Inf
721    764    422    Inf
721    765    421    Inf
721    765    422    Inf
721    766    421    Inf
721    766    422    Inf
722    761    421    Inf
722    761    422    Inf
722    762    421    Inf
722    762    422    Inf
722    763    421    Inf
722    763    422    Inf
722    764    421    Inf
722    764    422    Inf
722    765    421    Inf
722    765    422    Inf
722    766    421    Inf
722    766    422    Inf
721    761    431    Inf
721    761    432    Inf
721    761    433    Inf
721    762    431    Inf
721    762    432    Inf
721    762    433    Inf
721    763    431    Inf
721    763    432    Inf
721    763    433    Inf
721    764    431    Inf
721    764    432    Inf
721    764    433    Inf
721    765    431    Inf
721    765    432    Inf
721    765    433    Inf
721    766    431    Inf
721    766    432    Inf
721    766    433    Inf
722    761    431    Inf
722    761    432    Inf
722    761    433    Inf
722    762    431    Inf
722    762    432    Inf
722    762    433    Inf
722    763    431    Inf
722    763    432    Inf
722    763    433    Inf
722    764    431    Inf
722    764    432    Inf
722    764    433    Inf
722    765    431    Inf
722    765    432    Inf
722    765    433    Inf
722    766    431    Inf
722    766    432    Inf
722    766    433    Inf
731    731    411    Inf
731    732    411    Inf
731    733    411    Inf
732    732    411    Inf
732    733    411    Inf
733    733    411    Inf
731    731    421    Inf
731    731    422    Inf
731    732    421    Inf
731    732    422    Inf
731    733    421    Inf
731    733    422    Inf
732    732    421    Inf
732    732    422    Inf
732    733    421    Inf
732    733    422    Inf
733    733    421    Inf
733    733    422    Inf
731    731    431    Inf
731    731    432    Inf
731    731    433    Inf
731    732    431    Inf
731    732    432    Inf
731    732    433    Inf
731    733    431    Inf
731    733    432    Inf
731    733    433    Inf
732    732    431    Inf
732    732    432    Inf
732    732    433    Inf
732    733    431    Inf
732    733    432    Inf
732    733    433    Inf
733    733    431    Inf
733    733    432    Inf
733    733    433    Inf
731    741    411    Inf
731    742    411    Inf
731    743    411    Inf
731    744    411    Inf
732    741    411    Inf
732    742    411    Inf
732    743    411    Inf
732    744    411    Inf
733    741    411    Inf
733    742    411    Inf
733    743    411    Inf
733    744    411    Inf
731    741    421    Inf
731    741    422    Inf
731    742    421    Inf
731    742    422    Inf
731    743    421    Inf
731    743    422    Inf
731    744    421    Inf
731    744    422    Inf
732    741    421    Inf
732    741    422    Inf
732    742    421    Inf
732    742    422    Inf
732    743    421    Inf
732    743    422    Inf
732    744    421    Inf
732    744    422    Inf
733    741    421    Inf
733    741    422    Inf
733    742    421    Inf
733    742    422    Inf
733    743    421    Inf
733    743    422    Inf
733    744    421    Inf
733    744    422    Inf
731    741    431    Inf
731    741    432    Inf
731    741    433    Inf
731    742    431    Inf
731    742    432    Inf
731    742    433    Inf
731    743    431    Inf
731    743    432    Inf
731    743    433    Inf
731    744    431    Inf
731    744    432    Inf
731    744    433    Inf
732    741    431    Inf
732    741    432    Inf
732    741    433    Inf
732    742    431    Inf
732    742    432    Inf
732    742    433    Inf
732    743    431    Inf
732    743    432    Inf
732    743    433    Inf
732    744    431    Inf
732    744    432    Inf
732    744    433    Inf
733    741    431    Inf
733    741    432    Inf
733    741    433    Inf
733    742    431    Inf
733    742    432    Inf
733    742    433    Inf
733    743    431    Inf
733    743    432    Inf
733    743    433    Inf
733    744    431    Inf
733    744    432    Inf
733    744    433    Inf
731    751    411    Inf
731    752    411    Inf
731    753    411    Inf
731    754    411    Inf
731    755    411    Inf
732    751    411    Inf
732    752    411    Inf
732    753    411    Inf
732    754    411    Inf
732    755    411    Inf
733    751    411    Inf
733    752    411    Inf
733    753    411    Inf
733    754    411    Inf
733    755    411    Inf
731    751    421    Inf
731    751    422    Inf
731    752    421    Inf
731    752    422    Inf
731    753    421    Inf
731    753    422    Inf
731    754    421    Inf
731    754    422    Inf
731    755    421    Inf
731    755    422    Inf
732    751    421    Inf
732    751    422    Inf
732    752    421    Inf
732    752    422    Inf
732    753    421    Inf
732    753    422    Inf
732    754    421    Inf
732    754    422    Inf
732    755    421    Inf
732    755    422    Inf
733    751    421    Inf
733    751    422    Inf
733    752    421    Inf
733    752    422    Inf
733    753    421    Inf
733    753    422    Inf
733    754    421    Inf
733    754    422    Inf
733    755    421    Inf
733    755    422    Inf
731    751    431    Inf
731    751    432    Inf
731    751    433    Inf
731    752    431    Inf
731    752    432    Inf
731    752    433    Inf
731    753    431    Inf
731    753    432    Inf
731    753    433    Inf
731    754    431    Inf
731    754    432    Inf
731    754    433    Inf
731    755    431    Inf
731    755    432    Inf
731    755    433    Inf
732    751    431    Inf
732    751    432    Inf
732    751    433    Inf
732    752    431    Inf
732    752    432    Inf
732    752    433    Inf
732    753    431    Inf
732    753    432    Inf
732    753    433    Inf
732    754    431    Inf
732    754    432    Inf
732    754    433    Inf
732    755    431    Inf
732    755    432    Inf
732    755    433    Inf
733    751    431    Inf
733    751    432    Inf
733    751    433    Inf
733    752    431    Inf
733    752    432    Inf
733    752    433    Inf
733    753    431    Inf
733    753    432    Inf
733    753    433    Inf
733    754    431    Inf
733    754    432    Inf
733    754    433    Inf
733    755    431    Inf
733    755    432    Inf
733    755    433    Inf
731    761    411    Inf
731    762    411    Inf
731    763    411    Inf
731    764    411    Inf
731    765    411    Inf
731    766    411    Inf
732    761    411    Inf
732    762    411    Inf
732    763    411    Inf
732    764    411    Inf
732    765    411    Inf
732    766    411    Inf
733    761    411    Inf
733    762    411    Inf
733    763    411    Inf
733    764    411    Inf
733    765    411    Inf
733    766    411    Inf
731    761    421    Inf
731    761    422    Inf
731    762    421    Inf
731    762    422    Inf
731    763    421    Inf
731    763    422    Inf
731    764    421    Inf
731    764    422    Inf
731    765    421    Inf
731    765    422    Inf
731    766    421    Inf
731    766    422    Inf
732    761    421    Inf
732    761    422    Inf
732    762    421    Inf
732    762    422    Inf
732    763    421    Inf
732    763    422    Inf
732    764    421    Inf
732    764    422    Inf
732    765    421    Inf
732    765    422    Inf
732    766    421    Inf
732    766    422    Inf
733    761    421    Inf
733    761    422    Inf
733    762    421    Inf
733    762    422    Inf
733    763    421    Inf
733    763    422    Inf
733    764    421    Inf
733    764    422    Inf
733    765    421    Inf
733    765    422    Inf
733    766    421    Inf
733    766    422    Inf
731    761    431    Inf
731    761    432    Inf
731    761    433    Inf
731    762    431    Inf
731    762    432    Inf
731    762    433    Inf
731    763    431    Inf
731    763    432    Inf
731    763    433    Inf
731    764    431    Inf
731    764    432    Inf
731    764    433    Inf
731    765    431    Inf
731    765    432    Inf
731    765    433    Inf
731    766    431    Inf
731    766    432    Inf
731    766    433    Inf
732    761    431    Inf
732    761    432    Inf
732    761    433    Inf
732    762    431    Inf
732    762    432    Inf
732    762    433    Inf
732    763    431    Inf
732    763    432    Inf
732    763    433    Inf
732    764    431    Inf
732    764    432    Inf
732    764    433    Inf
732    765    431    Inf
732    765    432    Inf
732    765    433    Inf
732    766    431    Inf
732    766    432    Inf
732    766    433    Inf
733    761    431    Inf
733    761    432    Inf
733    761    433    Inf
733    762    431    Inf
733    762    432    Inf
733    762    433    Inf
733    763    431    Inf
733    763    432    Inf
733    763    433    Inf
733    764    431    Inf
733    764    432    Inf
733    764    433    Inf
733    765    431    Inf
733    765    432    Inf
733    765    433    Inf
733    766    431    Inf
733    766    432    Inf
733    766    433    Inf
741    741    411    Inf
741    742    411    Inf
