211     211     322     BH
211     411     322     BH
411     411     322     BH
211     211     422     BH
411     411     422     BH
211     422     433     BH
211     322     433     BH
322     411     433     BH
322     322     211     Inf
322     411     211     Inf
411     422     211     Inf
433     433     211     Inf
322     433     211     Inf
422     322     211     Inf
322     322     544     BH
322     411     533     BH
322     422     544     BH
411     411     522     BH
322     522     544     BH
422     422     544     BH
422     522     544     BH
522     522     544     BH
422     544     322     Inf
433     544     322     Inf
522     544     322     Inf
533     544     322     Inf
544     544     322     Inf
422     533     322     Inf
433     533     322     Inf
522     533     322     Inf
533     533     322     Inf
433     522     322     Inf
422     522     322     Inf
522     522     322     Inf
